RideId,VendorId,PickupTime,DropTime,PickupLocationId,DropLocationId,CabNumber,DriverLicenseNumber,PassengerCount,TripDistance,RateCodeId,PaymentType,TotalAmount,FareAmount,Extra,MtaTax,TipAmount,TollsAmount,ImprovementSurcharge
1,1,2023-08-01T00:00:00.000Z,2023-08-01T00:15:34.000Z,170,140,TAC399,5131685,1,2.9,1,1,15.3,13.0,0.5,0.5,1.0,0.0,0.3
2,1,2023-08-01T00:00:00.000Z,2023-08-01T00:10:56.000Z,161,68,T489328C,5076150,1,1.1,1,2,9.8,8.5,0.5,0.5,0.0,0.0,0.3
3,1,2023-08-01T00:00:00.000Z,2023-08-01T00:11:20.000Z,141,170,T509308C,5067782,0,1.7,1,1,12.35,9.0,0.5,0.5,2.05,0.0,0.3
4,2,2023-08-01T00:00:00.000Z,2023-08-01T00:20:01.000Z,161,68,VG354,5012911,2,2.86,1,1,18.17,14.5,0.5,0.5,2.37,0.0,0.3
5,2,2023-08-01T00:00:00.000Z,2023-08-01T00:00:00.000Z,239,239,T517119C,429996,1,0.0,2,1,66.0,52.0,0.0,0.5,13.2,0.0,0.3
6,2,2023-08-01T00:00:00.000Z,2023-08-01T00:00:00.000Z,48,48,T523479C,469162,1,0.1,5,2,62.8,62.0,0.0,0.5,0.0,0.0,0.3
7,2,2023-08-01T00:00:00.000Z,2023-08-01T00:00:00.000Z,48,230,T526628C,370606,1,0.89,1,2,14.8,14.0,0.0,0.5,0.0,0.0,0.3
8,2,2023-08-01T00:00:00.000Z,2023-08-01T00:00:00.000Z,234,230,T489378C,460439,5,2.22,1,2,22.8,22.0,0.0,0.5,0.0,0.0,0.3
9,2,2023-08-01T00:00:00.000Z,2023-08-01T00:00:00.000Z,113,68,T602840C,460019,1,2.87,1,1,17.38,14.5,0.5,0.5,1.58,0.0,0.3
10,2,2023-08-01T00:00:01.000Z,2023-08-01T00:11:15.000Z,137,79,T515369C,493727,4,1.69,1,1,12.88,9.0,0.5,0.5,2.58,0.0,0.3
11,2,2023-08-01T00:00:01.000Z,2023-08-01T00:23:01.000Z,88,243,T639570C,423187,1,14.41,1,1,53.04,39.5,0.5,0.5,12.24,0.0,0.3
12,2,2023-08-01T00:00:01.000Z,2023-08-01T00:12:54.000Z,107,231,T619150C,5068820,1,1.6,1,1,12.96,9.5,0.5,0.5,2.16,0.0,0.3
13,1,2023-08-01T00:00:01.000Z,2023-08-01T00:18:44.000Z,249,230,T490525C,5147626,2,2.3,1,2,14.8,13.5,0.5,0.5,0.0,0.0,0.3
14,1,2023-08-01T00:00:02.000Z,2023-08-01T00:13:43.000Z,164,163,T415818C,414057,3,2.2,1,2,12.3,11.0,0.5,0.5,0.0,0.0,0.3
15,1,2023-08-01T00:00:02.000Z,2023-08-01T00:10:32.000Z,249,79,T510525C,498666,1,1.2,1,1,10.3,8.0,0.5,0.5,1.0,0.0,0.3
16,2,2023-08-01T00:00:02.000Z,2023-08-01T00:25:53.000Z,234,50,T606623C,489189,5,2.5,1,1,21.36,16.5,0.5,0.5,3.56,0.0,0.3
17,2,2023-08-01T00:00:02.000Z,2023-08-01T00:08:58.000Z,25,181,T628458C,5060690,1,1.33,1,1,11.16,8.0,0.5,0.5,1.86,0.0,0.3
18,1,2023-08-01T00:00:02.000Z,2023-08-01T00:16:40.000Z,148,13,T462832C,5066390,1,2.2,1,1,15.95,12.0,0.5,0.5,2.65,0.0,0.3
19,1,2023-08-01T00:00:03.000Z,2023-08-01T00:11:59.000Z,246,231,T499163C,429614,1,2.1,1,1,13.3,10.5,0.5,0.5,1.5,0.0,0.3
20,1,2023-08-01T00:00:04.000Z,2023-08-01T00:09:22.000Z,142,238,T611066C,5141528,1,2.3,1,2,10.8,9.5,0.5,0.5,0.0,0.0,0.3
21,1,2023-08-01T00:00:04.000Z,2023-08-01T00:07:13.000Z,231,90,T432440C,5127017,2,1.9,1,1,10.7,8.0,0.5,0.5,1.4,0.0,0.3
22,1,2023-08-01T00:00:04.000Z,2023-08-01T00:16:06.000Z,164,79,T510355C,5015275,2,2.1,1,1,15.95,12.0,0.5,0.5,2.65,0.0,0.3
23,2,2023-08-01T00:00:04.000Z,2023-08-01T00:15:29.000Z,161,107,T614922C,451163,1,2.36,1,2,13.3,12.0,0.5,0.5,0.0,0.0,0.3
24,2,2023-08-01T00:00:04.000Z,2023-08-01T00:15:23.000Z,48,137,T618480C,5058606,1,1.99,1,1,15.36,11.5,0.5,0.5,2.56,0.0,0.3
25,2,2023-08-01T00:00:04.000Z,2023-08-01T00:03:48.000Z,237,75,T619038C,479178,5,1.16,1,1,7.48,5.5,0.5,0.5,0.68,0.0,0.3
26,2,2023-08-01T00:00:05.000Z,2023-08-01T00:05:02.000Z,229,140,T482546C,5131744,1,1.43,1,2,7.3,6.0,0.5,0.5,0.0,0.0,0.3
27,2,2023-08-01T00:00:05.000Z,2023-08-01T00:27:41.000Z,90,116,T524593C,448234,6,7.22,1,1,34.12,26.0,0.5,0.5,6.82,0.0,0.3
28,2,2023-08-01T00:00:05.000Z,2023-08-01T00:06:10.000Z,170,161,T623853C,5029655,1,1.11,1,2,7.8,6.5,0.5,0.5,0.0,0.0,0.3
29,2,2023-08-01T00:00:05.000Z,2023-08-01T00:23:54.000Z,88,226,T519933C,501172,1,9.03,1,1,34.56,27.5,0.5,0.5,5.76,0.0,0.3
30,1,2023-08-01T00:00:05.000Z,2023-08-01T00:16:42.000Z,48,244,T617263C,426706,1,8.0,1,1,30.35,24.0,0.5,0.5,5.05,0.0,0.3
31,2,2023-08-01T00:00:06.000Z,2023-08-01T00:05:57.000Z,107,79,T689709C,427673,1,1.1,1,1,8.76,6.0,0.5,0.5,1.46,0.0,0.3
32,2,2023-08-01T00:00:06.000Z,2023-08-01T00:08:50.000Z,48,238,T490778C,5014753,1,1.9,1,1,12.36,9.0,0.5,0.5,2.06,0.0,0.3
33,2,2023-08-01T00:00:06.000Z,2023-08-01T00:21:17.000Z,249,66,T632014C,449002,2,3.43,1,1,18.3,15.0,0.5,0.5,2.0,0.0,0.3
34,2,2023-08-01T00:00:06.000Z,2023-08-01T00:32:30.000Z,239,7,T419403C,5097234,1,5.92,1,1,29.16,23.0,0.5,0.5,4.86,0.0,0.3
35,2,2023-08-01T00:00:07.000Z,2023-08-01T00:36:11.000Z,237,89,T505901C,5070318,1,13.37,1,2,48.06,41.0,0.5,0.5,0.0,5.76,0.3
